Serial Number,Published At,Comment
3811,2024-11-22T17:29:14Z,"Air polluttion so bad that it&#39;s thick.. that&#39;s right, the air is thick"
3812,2024-11-22T16:00:01Z,"This problem can be solved if people of centre and state will work selflessly for the city. You can reduce petrol, diesel vehicles and polluting factories can relocate in other cities. Encouraging public transport and making specific lane for bicycle and pedestrian and more strict care of municipal corporation and centre can encourage surrounding states to teach their farmers to manage their farm waste in right way and we have the technology to reduce it if works with good will because it&#39;s very important to understand climate change and global warming is real and we are facing its impacts."
3813,2024-11-22T15:24:58Z,"India is polluting whole of Asia,  Air and Sea."
3814,2024-11-22T13:57:48Z,That is the sad reality of India. The biggest Democracy in the world. Voted by the people but gets self-serving corrupted leader. Wondering how the country is going to become with population increase.
3815,2024-11-22T13:53:30Z,"Appreciate you mam . Atleast you are raising voice against these shit politicians . Otherwise , those nonsense media even hiding these facts from from us."
3816,2024-11-22T13:23:15Z,"Play utensils, and yell go pollution go These same people don&#39;t want to talk about topic alike hasdev forest and crying over pollution ."
3817,2024-11-22T12:35:26Z,Yet conspiracy sharma busy with Bangladesh internal matters with all her lies. Spreading fake news. Messing with social harmony of a democratic country
3818,2024-11-22T12:34:39Z,Living Chernobyl
3819,2024-11-22T12:34:26Z,"UNLIKE ASIAN PEOPLE IN FOR EXAMPLE VIETNAM, THAILAND, CHINA, WHO HAVE WHITE SKIN COLOR, INDIANS, AND AND SIRI LAKANS LOOK BLACK. JUST LOOK AT THE LADY. DNA OF MILLIONS AND MILLIONS OF INDIANS SHOW THEY CAME TO INDIA FROM AFRICA LONG LONG AGO. SMOG AND POLLUTION MAYBE MAKE THEM BLACK ALSO. WHY INDIANS BURN DEAD HUMAN BODIES. THAT IS ALSO POLUTION. I SAW ONCE A VIDEO OF PEOPLE DEFENDING WHY THEY EAT BURNED DEAD HUMANS."
3820,2024-11-22T12:22:08Z,This palki compare india to china first show china has done to fight air pollution in its cities
3821,2024-11-22T12:04:03Z,How dare you post a news that will highlight the incompetence of current ruling party of the country..... Shame on you.... Hail BJP....
3822,2024-11-22T11:58:03Z,"India doesn&#39;t want to face the truth. So very proud of its various achievements. I feel very sorry for your people; There&#39;s nothing the majority can do. Do you think the current leadership or any other (non-BJP)leadership can solve this problem? I despair for you. Until something very radical is done to your society, I don&#39;t think you can solve many of your basic problems. Don&#39;t take my comments as a criticism. You have to have a good hard look at your social/political system."
3823,2024-11-22T11:39:59Z,All thanks to our politicians
3824,2024-11-22T11:32:14Z,Just tell me if pollution is mlajorly due to Parali  burning only then why AQI in Lutyens Zone is is 500 while in rest of delhi  is 1700.
3825,2024-11-22T11:20:30Z,why is no action being taken? isnt this the violation of right to good health of the citizens?
3826,2024-11-22T10:59:47Z,a.Breath the toxic air b.Leave the city c.Buy an air purifier d.All the above. correct answer : D
3827,2024-11-22T10:20:51Z,A CORRUPT Country like INDIA will Go NOWHERE. SHAME !  World is making fun of this Country/City.
3828,2024-11-22T10:17:33Z,"Delhi is a &quot;Heaven on Earth&quot; for pharmaceutical companies. Big money . Plus for the companies manufacturers air purifiers. India heavily compromised the health of their citizens to achieve the so called &quot;1st world country&quot;. Now their own actions bitting them harder than anticipated. Sharing from my own experience, I had been to Bangalore before the city became a Global IT Hub. Wonderful city with weather and cleanness, now Bangalore is like another polluted city in India. Very sad situation.Same goes to the water resource of India, unbelievable state, all of the major rivers flows through India were polluted. Is this the &quot;Beginning of the End&quot;. ?"
3829,2024-11-22T09:38:20Z,"A indian news media, that criticises the indian government... rare sight. And Delhi air quality is not 17x more then normal. It is 17x over the healthy limit"
3830,2024-11-22T09:24:06Z,India is super power any way.
3831,2024-11-22T08:16:41Z,We are only talking about humans! How about thr animals? I wonder how are they coping with it they don&#39;t even have air purifier nor money
3832,2024-11-22T08:13:16Z,First time hear Palki said something positive on China - AQI dropped well below world srandard due to unrelented effort by the Chinese Govt for the last 10 year.
3833,2024-11-22T07:17:53Z,"This caused, Sri Lanka to have thick clouds in Sri lankan Sky as well, in last year it stayed for two weeks and today I can&#39;t see the sky. Sri Lanka don&#39;t even polute the atmosphere cause there&#39;s only few factories. And still we have to face this smog Hope Indian people wake up to the reality and force Indian government to find a solution for this."
3834,2024-11-22T06:20:12Z,Implement odd even vehicles only in delhi
3835,2024-11-22T06:13:07Z,They making air taxable
3836,2024-11-22T04:34:55Z,Funny part is Indians still find a way to make this political issue rather than national and health issues. Shame on them.
3837,2024-11-22T03:44:06Z,For once Palki is not talking about China
3838,2024-11-22T03:23:10Z,not humans what about animals
3839,2024-11-22T02:30:54Z,Pollution problem has always been there but each year it goes from bad to worst after Diwali with the excess bursting of fire crackers
3840,2024-11-22T02:17:00Z,Superpower country... Smog....piece of cake small problem....
3841,2024-11-22T02:14:41Z,My side AQI is 130+( Varanasi ) and the New York City which is far more developed than India has AQI of nearly 30 (Times Square)
3842,2024-11-22T02:10:35Z,"I saw many people on social media who incourage people that this year don&#39;t listen to anyone and burn crackers to full extent, it&#39;s a lot of shame that many people of india had fun while  destroying our air quality"
3843,2024-11-22T02:06:12Z,"Modi: India is a superpower, &quot;the largest democracy&quot; and India is the future"
3844,2024-11-22T02:03:32Z,"Delhi is a terrible place to live, the rape capital of the world, the air pollution capital, unplanned urbanization ."
3845,2024-11-22T01:49:19Z,Why this farm fire polluting Delhi but not haryana and Punjab. From where it&#39;s coming? Is delhi working as a magnet for polluted air ?
3846,2024-11-22T01:43:48Z,"Free wifi, free trains, free water during rains and now free smokes...well done Delhi"
3847,2024-11-22T01:35:22Z,Kejru baba…..what thou doeth??
3848,2024-11-22T01:15:44Z,Palki why blame state governments when papa modi is in the center?
3849,2024-11-22T01:14:42Z,We not only need solutions but determined with honesty to implement.We have too many no sense making politicians.Either resolve or get out.
3850,2024-11-22T01:05:22Z,India number one!
3851,2024-11-22T00:48:21Z,Chandigarh has big air purifiers all arround the city Why can&#39;t delhi do that
3852,2024-11-21T23:48:49Z,"These politicians sit breath purified air, drink purified water on our money...doing nothing for the tax payers"
3853,2024-11-21T23:01:31Z,I thought we were mocking pakistan for their AQI and the fact that they pointed at us as the culprit not too long ago
3854,2024-11-21T22:48:25Z,4:51 Maybe someone should talk to the Americans. They don&#39;t (or no longer) burn the fields to deal with crop residue from the previous harvest. Stubble mulching is the term that I see.And I daresay that the first people to point fingers at is the Universities. Where is their research?
3855,2024-11-21T22:10:56Z,"they need some rain   to clear the sky,s"
3856,2024-11-21T21:29:57Z,"All smog in capital, blame central government for bad laws incompetence people in charge. All roads should be swept every week or month. Anybody throwing litter on roads should be fined all litter should be taken to your home or in public bins. No cigarettes end be thrown on floor fine."
3857,2024-11-21T17:17:47Z,whos the world record holder ?
3858,2024-11-21T16:09:39Z,Revolt the only option now
3859,2024-11-21T16:03:28Z,"Politicians are not, we are responsible for what our respiratory tract is suffering...... it&#39;s our responsibility to hold the government accountable. How much longer will we get pleased by Hindu-Muslim politics, when will we raise questions on pollution, climate uncertainties.In winter people die from #pollution, in summer from #heatwave and in rain from #flood. It&#39;s bitter truth that India is worse than hell."
3860,2024-11-21T16:01:14Z,"How to make the government do something about this? You are a big platform, please tell us what are the ways in which we can fight this with the government"
3861,2024-11-21T15:53:46Z,capital punishment is a good one
3862,2024-11-21T15:45:31Z,Beijing and Shanghai are at least 10 years behind New Delhi.  This lady is spreading false information.  Be a proud and confident Indian. China not in your rearview mirror.  China&#39;s lower pollution levels are due to very little industrial activities because of total economic collapse.
3863,2024-11-21T15:26:18Z,Sounds like she is saying that It is time for Indians to visit China for better air.
3864,2024-11-21T15:12:27Z,Now i smoke in front of my parents and remind them breathing air is more hazardous than smoking.
3865,2024-11-21T14:26:45Z,The government of INDIA never fucking cared about health concerns of the citizen ....... NEVER
3866,2024-11-21T14:19:53Z,"Indian Wants and Loves........ Freedom.... Freedom.... Freedom  Freedom of Spitting Anywhere  Freedom of Urinating Openly  Freedom of going Open Toilet Defecation on the Road side/on Railway Track. Freedom of Throwing Garbages Anywhere  Freedom of keeping Stray Cows wondering in the city. Freedom of not obeying any Rules and Regulations  Freedom of not following any traffic Rules  Freedom of Declaring Bharat Bandh anytime  Freedom of Strike, Demonstration,Hadtal, looting,Destroying and Arsoning public property. Freedom of Breaking Rules Freedom of No Discipline anywhere in India. Freedom of Corruption  Freedom of Giving and Taking Bribes to do Right of Wrong or to do anything illegal  Freedom of Hapta Vasuli  Freedom of Government Employees of not doing their duty. Freedom of Molesting and Misusing the Girls, women.....These Savage animals don&#39;t even spare Small Children because of all these Freedoms.. Freedom of Using Tax payers money for taking the Freebies,Free Ration,Free Home..... Freedom of Reservation in every sphere from Birth to death and from Education to Promotion to Ministry level Now imagine.... Which Indians will sacrifice for their Vast Freedoms available at Free of cost without paying any Income Tax  Indians don&#39;t need Development, Cleanliness, Safety, Security, Peace...."
3867,2024-11-21T13:42:37Z,Every politician needs to take notes!!! Pure air is a constitutional and human right!!!
3868,2024-11-21T12:34:47Z,&quot;Nationalism&quot; idoelogue palki never asks any questions to the religious &quot;nationalism&quot; party bjp..No questions asked
3869,2024-11-21T12:21:06Z,i don&#39;t know anymore i think we need to get rid of politicians and appoint proper researcher&#39;s and civil servants as government heads who wants to get work done rather than do political rally and parties
3870,2024-11-21T11:27:34Z,Big thanks to farmers of punjab and haryana.
3871,2024-11-21T10:57:43Z,I have been their last week horrible
3872,2024-11-21T10:57:21Z,In Davao City where most overseas Indians go to medical school has an anti-Smoking Ordinance....why anti? To deter smokers from smoking...
3873,2024-11-21T10:34:16Z,"When the PSI reaches 3,000 next year, even the mosquitoes would not survive..."
3874,2024-11-21T09:47:47Z,and they complain us for leaving the country when they cant even keep it at livable conditions.
3875,2024-11-21T09:44:29Z,Nicely reported Ma&#39;am
3876,2024-11-21T09:27:40Z,"look how backward india has become now, their goverment really are not human being but a clown."
3877,2024-11-21T08:45:47Z,Same on those idiots politicians using our money and enjoying fresh air. Central Government has to tackle this otherwise it can have serious consequences.
3878,2024-11-21T08:40:15Z,stop making stuff for usa and europe and you will have cleaner air.
3879,2024-11-21T08:36:59Z,"Lol your team is dumb, we dont have pollution,  its winter, so its dew (vapour) in this season. We are literally covered by jungle and have ver low population. Delhi have this problem due to farmers burning a specific crop. Here we live near coast so dont have such problems."
3880,2024-11-21T07:55:09Z,"To ensure pure air and consistently good air quality (AQI below 50) in every Indian city, it is essential to implement a robust Urban Green and Water Plan. This plan would prioritize sustainable urban greenery, water conservation, and eco-friendly infrastructure, creating healthier and cleaner environments for everyone.Urban Green and Water PlanGREEN PLAN :1. Establish a minimum of 40% green cover in every city2. Shady trees should be planted along the central verge and roadsides of every street in the city, providing shade for pedestrians and commuters.3. Implement rain gardens to manage stormwater and enhance biodiversity.4. Create Miyawaki forests in suitable locations to rapidly increase urban green cover.5. Dense plantation of small trees beneath bridges, elevated corridors, and flyovers6. Plant large shade trees, and initiate avenue tree plantation along major roads and public areas.7. Enforce a mandatory provision for residential societies and neighborhoods to maintain at least 40% green space8. Ensure a minimum of 30% greenery in every commercial market, and make it mandatory for all commercial buildings or complexes to dedicate 20% of their space to greenery.Conclusion: The finest example of urbangreenery is ensuring that every available space in the city is utilized for Greenery.Water Plan1. Develop numerous lakes, ponds, and water bodies across the city based on space availability.2. Make rainwater harvesting mandatory for all those using borewells.3. Promote large-scale implementation of water recycling and treatment plants4. Roads in cities should be designed in a way that allows rainwater to flow into the central verge for effective drainage and water conservation.5. Water recharge pits should be constructed throughout the city based on space availability to enhance groundwater replenishment.6. Use permeable materials for pavements and driveways to allow rainwater to infiltrate the ground, reducing runoff and increasing groundwater recharge.7. Conduct regular water audits for homes and businesses to identify areas where water can be conservedConclusion: The best example of waterconservation is to preserve as much water as possible in cities, ensuring that clean water is available at all times and even during extended periods of insufficient rainfall, cities should still have a sufficient supply of water available."
3881,2024-11-21T07:46:40Z,palki still wound&#39;nt blame her beloved Modi goverment. everybody just whinge about it..
3882,2024-11-21T07:31:38Z,What a mild reporting from Palki ..... what happened to your usual acidic &amp; scarstic tongue lashing Palki Sharma
3883,2024-11-21T07:22:13Z,Sometimes as a citizens we tolerate a lot .
3884,2024-11-21T06:32:38Z,"people in india is busy doing hindu muslim than doing anything for the country they only care about themselves that is the reason  , There is a saying in India Sari duniya khasti me Apun apni masti me"
3885,2024-11-21T06:23:26Z,wherever these people go they will pollute
3886,2024-11-21T05:57:56Z,"Saw some smart Indians move to China. They probably won&#39;t be back if India land, water, air continue choking."
3887,2024-11-21T05:41:02Z,Glad Iam living in Chennai.....
3888,2024-11-21T05:35:13Z,The fact still are proceeding to burst crackers not only during diwali but before and after aswell.
3889,2024-11-21T05:29:41Z,She will probably blame  Briton for this
3890,2024-11-21T05:09:56Z,this is the hell......
3891,2024-11-21T05:08:04Z,just give politicians money to solve the problems and they will solve it within 24 hrs
3892,2024-11-21T05:00:09Z,Can Indians in New Delhi seek Asylum in other countries? mentioning Tax Paying citizens don&#39;t get anythingLooking forward for corruptive politicians choke and count days...
3893,2024-11-21T04:50:28Z,"Meanwhile, the Indian govt is busy building hypersonic missiles, clamouring to join the China-Russia-USA club. Talk about priorities."
3894,2024-11-21T04:47:03Z,What long term solution did the government have ?
3895,2024-11-21T04:35:30Z,Palki you are twice of my age but i still love you...will you be my gf
3896,2024-11-21T04:22:01Z,How many people are getting severe asthma? This looks treacherous.
3897,2024-11-21T04:12:51Z,"Bjp is destroying the nation by choking the working class people. The ignorant village Hindu majority wanted a bjp govt irrespective of their poor manifesto and now with the recent rise of inflation and GST , we see more Hindu beggars on the street in most major Indian cities. Third class people!!"
3898,2024-11-21T04:12:09Z,"One day when nobody will be alive, then try to do the politics"
3899,2024-11-21T03:40:33Z,Similar video:
3900,2024-11-21T03:32:06Z,&quot;Celebrate good times come on!&quot;  about to beat abdool
3901,2024-11-21T02:54:26Z,you have to start banning fireworks
3902,2024-11-21T02:47:17Z,The atmosphere of Delhi is polluted by dirty minded and traitorous people and illegal immigrants.
3903,2024-11-21T02:36:01Z,"Besides the air quality problem in the capital city, slums in many Indian cities are top issue to be settled!"
3904,2024-11-21T02:29:44Z,Oh geez... You&#39;re talking about something important !!! For a change.
3905,2024-11-21T02:27:46Z,Why is clean air not a fundamental right under article 21?
3906,2024-11-21T02:23:18Z,"Giving FREE METRO and OTHER FREEBIES by AAP(B TEAM OF KHANGRESS) leads to zero investment on Infra and other developments. So, people vote for FREEBIES and now they have to face the fate!"
3907,2024-11-21T02:18:07Z,Finally Palki said a few positive words about China. This is really strange for her news.
3908,2024-11-21T02:15:18Z,
3909,2024-11-21T02:01:46Z,There is no use of imposing penalty on farmers. They must be given alternatives to stubble burning and educating them is the first priority. So govt should employ more people to do this job.Industrialists must be fined heavily if found polluting.Those builders who are not covering their materials must be penalized.
3910,2024-11-21T01:59:28Z,That is the cost of pride not willing to import cheap Chinese EV cars
3911,2024-11-21T01:50:04Z,"So the people to who do cigerette are safe there,... This is future which we are experiencing...and these politician and scientists doesn&#39;t come with something... This could be next pandemic"
3912,2024-11-21T01:21:29Z,"People of a country first need clean air, clean water and good food for development. Of course they need a job. These are the main priorities for any government. What is point of spending billions for bullet trains and erecting huge statues….doesn’t make sense. India cannot come out of poverty unless basic amenities are provided. Whichever the government it is the same situation. I am surprised there is no civil unrest with millions of people facing hardships. Could be a billion or more if you remove the Ambanis Adanis and the film stars."
3913,2024-11-21T01:11:25Z,"The toxic air has significant health consequences. Poor people in Delhi, you&#39;re being poisoned ! Some of you still think your leader is better than China? And you think you have more freedom? You don&#39;t even have the freedom to breathe. I visited Delhi last summer. I like Indian people don&#39;t get me wrong. but I told my family this is a 4th world country. I&#39;ve visited more than 100 countries so I know. sorry if that sounds offensive. I hope things can change."
3914,2024-11-21T01:03:54Z,Blame those burning activities in punjab haryana and lack of responsibility of people residing in Delhi.
3915,2024-11-21T00:58:16Z,"India Chokes Amid Record high Pollution, Blames Pakistan - Palki Sharma"
3916,2024-11-21T00:49:20Z,
3917,2024-11-21T00:35:47Z,"Karma never fails! Few Days ago they were mocking about Pakistan’s Karachi’s Air Quality, because they blamed India for it."
3918,2024-11-21T00:05:39Z,Is it because of sheer amount of cars on the road or many cars have inefficient internal combustion engines that produce a lot of exhausts?
3919,2024-11-20T23:35:32Z,Very good reporting
3920,2024-11-20T23:11:25Z,"India should make more artificial rain every day to bring down pollution ,(Jai Hind )"
3921,2024-11-20T22:58:39Z,Incredible India!!!
3922,2024-11-20T22:56:31Z,Palki sharma is the only journalist who is true to the work. Bow down respect for the one and only palki sharma standing
3923,2024-11-20T22:47:07Z,This is the only reason why I left India. I didn&#39;t want my kids to breathe in this air and choke their lungs
3924,2024-11-20T22:08:51Z,they’ll stop covering this once winter ends rinse and repeat
3925,2024-11-20T21:49:14Z,Nothing has/ will ever happen!!!
3926,2024-11-20T21:28:07Z,"Are you people for real? Despite boasting, achievements, to build those hypersonic missiles, moon probes, aircraft carriers and many more junk stuff, you do not have the capability to make rain? Those water spraying trucks look ridiculous as band aid solution. Talking about progress going the wrong way. What so hard about seeding the cloud to make rain? We in Indonesia do not make hypersonic missiles, or aircraft carrier. But we know how to make artificial rain. We need it. We had similar problems with forest fire before. Yes, forest fire! Not farmers burning crop waste. Forest fire is bigger and more serious that farmers burnings, but we took care of it! Aren&#39;t you shameless to claim yourself to be the next China, or even the next superpower."
3927,2024-11-20T21:21:55Z,ban all old diesel run buses and trucks coming from interstates entry in our Delhi NCR to cut down the pollution
3928,2024-11-20T20:59:13Z,Why can’t farmers of Punjab and Haryana do something alternative than burning crop leftovers
3929,2024-11-20T20:57:36Z,Doomed in such a country... still proud on past achievement
3930,2024-11-20T20:42:02Z,Still vote #teabjp
3931,2024-11-20T20:35:18Z,fresh air available where rivers are clean
3932,2024-11-20T20:28:33Z,"Can understand that the country is going through growing pains, but if you want the world to take India seriously, this is a problem that needs to be sorted yesterday. Clean air and drinking water are the future, and if you are struggling in both regards, it’s going to be a major issue. Hope that the powers that be and the citizens stand up for what is right."
3933,2024-11-20T20:16:04Z,Why this woman feels so shameless
3934,2024-11-20T20:14:49Z,Even Somalia have better air quality
3935,2024-11-20T19:37:20Z,"Finally a fair and balanced report mentioning China from Palki. I thank her as a Chinese viewer. Everything she said was correct about China. Our pollution was terrible just a few years go, and it is much better controlled now.  However, please note that it didn&#39;t come easy.  The clean-energy push was hard on traditional energy sector, and millions of Chinese factory workers were displaced away from major cities.  To resolve the pollution problem, India needs to make tough choices, and some people&#39;s interests and wellbeing will be impacted.  I sincerely wish India can make the tough decision and transition the country on track for sustainable and fast development while managing the fallout from whom that sacrifice along the way.  It would be terrible to get stuck in the endless blaming game between different parties and interest groups where no decision or change can be made.  As neighbors, I hope Chinese and Indian media don&#39;t laugh at each other&#39;s &quot;tough decisions&quot; and counter-argue every point along the way.  We all face the same challenges and want a better future for our people."
3936,2024-11-20T19:32:10Z,where is Modi? what is Modi doing??? Modi is the culprit. PALKI AND HER MODI
3937,2024-11-20T19:16:45Z,Population--&gt;pollution. Nasbandi was the way. RIP Sanjay Gandhi.
3938,2024-11-20T19:04:05Z,C&#39;mon India you guys are a beacon of the Global South.OBE DAY INDIA WILL BECOME GREAT
3939,2024-11-20T18:56:38Z,we need more qualified and unbiased politicians. Current political leadership is not aware of their responsibilities.  They are trying to rule with the same mindset as we are in 60-70s.
3940,2024-11-20T18:46:00Z,this is how journalism should be and must be Hats off to P. Sharma
3941,2024-11-20T18:03:00Z,3:19 Supreme Court                                       take this case &#39;Suo Moto&#39;
3942,2024-11-20T17:58:42Z,"I repeat, India is a hopeless case. I suggest especially for Indians to either migrate to another country or protest against the corrupt government and greedy oligarchs. There&#39;s no future for India, a sad fact."
3943,2024-11-20T17:44:42Z,"Ask Sadhguru Jaggi Vasudev, he will have a comprehensive solution to solve this problem."
3944,2024-11-20T17:36:34Z,I have never found a single square meter of India that isn&#39;t covered with trash or isn&#39;t polluted in some way
3945,2024-11-20T17:33:57Z,They need free electricity and reservation  they don&#39;t need free fresh air
3946,2024-11-20T17:31:22Z,Why cry now?? At least we’re using UPI
3947,2024-11-20T17:30:16Z,"If we write this in exam.  Then we will be purified first , hence india is not able to get capable people on board , sab upsc ka lafda hai"
3948,2024-11-20T16:42:23Z,Delhi has all capability to reach AQI  2025 by 2025 . Happy new year in advance
3949,2024-11-20T16:37:44Z,Happy to see this in Delhi. Freeloaders of Delhi voted for corrupt Kejriwal. This is perfect outcome.
3950,2024-11-20T16:34:44Z,Looks like MPs got some booster shot against air pollution.....last on the list!
3951,2024-11-20T16:33:15Z,"Thats why vote people who is educated not people who belongs to same religion as u are.I always seen people vote as per religion basis. Example ( ye apne caste vala hai isko hi vote dena hai.) bhai tere caste vala hai thik hai magar kaam bhi karta hai kya ????For some biryani and for some money people give votes to person who dont even able to take care of cityand for 5 years we cry that roads are not good, this is not good that is not good."
3952,2024-11-20T16:27:19Z,Completely unbiased and to the point journalism.
3953,2024-11-20T16:23:27Z,Glad to see some journalism at it&#39;s best and the journalists as a whole
3954,2024-11-20T16:22:55Z,Delhi soon getting guiness world record of most pollutedd cities of decade
3955,2024-11-20T16:18:31Z,Ban hamam &amp; steamer in kashmir too. Smoke every where here
3956,2024-11-20T16:10:10Z,I don&#39;t understand why it is still the capital?? Either government of Delhi need to do the change or change the capital. Because we can&#39;t proudly call it our captial.
3957,2024-11-20T16:01:45Z,Every word you spoke with real conviction touched me as a citizen... It is our call now!
3958,2024-11-20T15:58:01Z,Research Study says - Indians have highest ego per unit of achievement.
3959,2024-11-20T15:53:13Z,I love you palki . Please report pakistan&#39;s such issues.
3960,2024-11-20T15:53:12Z,This is only one of the numerous reasons why china is better than india.
3961,2024-11-20T15:49:09Z,The govts care more for revenue from oil than the lungs of people but let me also say that people of Delhi deserve it because they wanted their free electricity and water and now paying back with their health.
3962,2024-11-20T15:35:42Z,Democracy is for fools
3963,2024-11-20T15:35:12Z,"Even pluto is better than earth atleast it does not have people like us,, yes&quot; us&quot; .... Because of us only this situation has taken place,,,"
3964,2024-11-20T15:31:14Z,Great reporter . We need more reporters like you in India .
3965,2024-11-20T15:28:26Z,This smog is so bad it can be seen from space.
3966,2024-11-20T15:23:07Z,18 percent gst on air purifiers tax terrorism at its peak.
3967,2024-11-20T15:12:44Z,We are beating China on pollution after population. That&#39;s good news
3968,2024-11-20T15:11:43Z,"Nobody political party is focussed on pollution , high taxes and unemployment... Rivers are polluted to extent that the water has become toxic.. Many quit voting in India as the political parties has failed it&#39;s youth. No one is thinking of country or its growth.. Only spreading hatred based on caste, religion etc diverting publics attention.."
3969,2024-11-20T15:08:30Z,3 min silence to those who are resident of Delhi
3970,2024-11-20T14:56:45Z,Shameless politicians will loot india
3971,2024-11-20T14:55:09Z,"Government: New laws are required to get rid of air pollution. All vehicles must be electric. No burning of rubbish, actually rubbish must be collected and recycled. Ban farmers from burning stubs. Maybe these stubs can be recycled and made into paper or something else. Factories emitting smoke must comply to air quality standards immediately. Other factories must be relocated etc. Everybody must work together to get rid of air pollution."
3972,2024-11-20T14:44:47Z,I am ashamed to be an Indian and looking forward to leave it for any opportunity I have !
3973,2024-11-20T14:43:05Z,Im planning to leave thos beautiful country for the shameless Government and shameless people..
3974,2024-11-20T14:39:19Z,If you shame on yourself and think that failure  just look once  to our Govt.
3975,2024-11-20T14:36:02Z,move the capital to mysore. it is clean and can be a model for Vikshit Bharat 2047
3976,2024-11-20T14:32:53Z,"She was in WION before, Jesus Christ... Hated her there. Surprisingly she&#39;s in FirstPost."
3977,2024-11-20T14:32:15Z,"For those illiterates who&#39;ll blame stubble burning only, Many states in USA, Canada, Australia PERMITS stubble burning, but they regulate, provide infrastructure to tackle it but their aqi is alway Below 50. This is standard blame shifting practice by govt. That illiterates fall behind easily.Here Punjab and haryana farmers have given repeated suggestions to curb stubble burning SINCE 2004. No govt. Wants to implement those suggestions."
3978,2024-11-20T13:25:26Z,Palki is on fire
3979,2024-11-20T13:02:00Z,Time to shift capital to Hyderabad
3980,2024-11-20T12:59:20Z,"Regime change and blame games cannot solve this issue. I am surprised people take air and water pollution as a joke in our country.And plus its our mentality. Most of us buy water filters to filter the water coming to our houses. Buys air filters to do the same when the real problem can be solved with a lesser investment. Sad truth is we unknowingly go for custom solutions instead of a generalized solution for everyone. Once that changes we can do better in most aspects. Palki did tell about China whom most of us see in a different angle. They do have privacy and labour issues and the type of government is not something you want to be ruled by. But they seem to be doing way better than us when it comes to tech and environment, being the place with the highest number of manufacturing hubs. At least living there won&#39;t cut your lifespan by half.And this is just the start. There&#39;s gonna be a series of companies war profiteering during such situations when we are dying (as we saw during COVID)."
3981,2024-11-20T12:49:35Z,"India is most polluted country in the world, we are on top and leading the word in pollution. Vishv Goo"
3982,2024-11-20T12:49:13Z,"Keep it upBe our voice, maintain the pitch"
3983,2024-11-20T12:44:35Z,I feel.once BJP comes to power...the smog will all disappear like magic
3984,2024-11-20T12:44:02Z,The politicians are what the citizens choose so let it be
3985,2024-11-20T12:34:21Z,Not real news just watch for entertainment
3986,2024-11-20T12:31:06Z,"Hindu-stani freedom of speech , I called modi the “butcher of Gujrat “ and this channel removed it and told me it didn’t agree with their narratives lol"
3987,2024-11-20T12:16:58Z,"Work from home is not going to remove the pollution. Now out of desperation, people are booking long holidays to non-polluted destinations. Delhi government has to ban diesel and petrol vehicles. I not immediately, it should be done in phases. Another issue is with stubble burning by farmers. Central government needs to impose a ban and levy fines for stubble burning. Alternative methods must be devised and made mainstream. Political will is needed to solve this issue. So far it seems all politicians have turned spineless in this regard."
3988,2024-11-20T12:12:10Z,"Some sensitive Indians faced this embarrassing and angry situation, and the ridicule of foreign Internet users, they argued that it’s only Delhi not all Indian city like this. I am a Chinese, every Chinese who has read primary school, even if he is only a 10-year-old child, knows the phrase &quot;If we don’t sweep our own room,how can we sweep the whole world?&quot; Delhi, the capital of India, the political center of India, the most important city in India, India government can’t govern it well,you still want they govern the whole country well? Every year,same story,never change (maybe not,because it’s get worse rather than get better),that’s the true India."
3989,2024-11-20T12:06:17Z,Where are all the “pRoUd tO bE iNdIaN” NPCs at?
3990,2024-11-20T11:56:02Z,Better go for B start leaving the city so that news channels will get more news and again trps
3991,2024-11-20T11:52:35Z,Hell yeah
3992,2024-11-20T11:52:08Z,So Indians move to Canada and fight in their streets where the air is clean.  Wonderful.
3993,2024-11-20T11:43:13Z,What happened to the IITian experiment with artificial rain?
3994,2024-11-20T11:32:39Z,true reason why we should fight aginst the government...
3995,2024-11-20T11:25:19Z,Hopeless country. Nothing will change
3996,2024-11-20T11:16:36Z,Welcome you&#39;re  in india
3997,2024-11-20T11:00:07Z,If this lady keeps the good work up like this. I’ll immediately restore my faith in broadcasted press. Lots of love and respect ma’am
3998,2024-11-20T10:56:16Z,Why is every news media focusing only on Delhi?? Even most places in North India are suffering the same... At least Delhiites are aware about it....but there is lack of awareness in smaller cities
3999,2024-11-20T10:53:19Z,Not only Delhi. Every year this time around Sri Lanka is also affected by the Polluted air coming from India
4000,2024-11-20T10:45:26Z,Very good! Now we are reaching a happy life
4001,2024-11-20T10:42:57Z,Are you the one who has received some award  from  Modi Sir
4002,2024-11-20T10:41:58Z,This is fantastic
4003,2024-11-20T10:24:12Z,Time to blame the &quot;Britishers&quot;.
4004,2024-11-20T10:23:58Z,i can&#39;t stop coughing for the past week man this desh is screwed
4005,2024-11-20T10:05:23Z,Who cares? As long as we have UPI.
4006,2024-11-20T10:00:12Z,"Brilliant stuff, shame on BJP"
4007,2024-11-20T09:55:51Z,I remember there were few idiots on reddit who make making religious posts on how banning firecrackers is bad for hindu religion and our culture. This society is filled with idiots
4008,2024-11-20T09:44:44Z,Modi is away touring abroad.He is definitely not responsible
4009,2024-11-20T09:40:14Z,Great journalist now a days
4010,2024-11-20T09:40:12Z,Thank you for speaking up the way it should be
4011,2024-11-20T09:38:24Z,Work with China. They are willing to share and will not put India down for asking.  The world will be a brighter place.
