serial_number,website_name,url,title,date,content
646,INDIA TODAY,https://www.indiatoday.in/trending-news/story/delhis-air-quality-index-crosses-700-people-share-posts-of-city-covered-in-smog-2457583-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's Air Quality Index crosses 700, people share posts of city covered in smog","UPDATED: Nov 3, 2023 13:52 IST",Listen to Story
647,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-ncr-severe-air-quality-delhi-residents-chokes-air-quality-turns-severe-schools-shut-2457459-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"As Delhi's air turns toxic, here's what is being done to tackle pollution","UPDATED: Nov 3, 2023 13:42 IST",Listen to Story
648,INDIA TODAY,https://www.indiatoday.in/india/video/aap-government-slams-centre-as-delhi-breathes-toxic-air-2457567-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,AAP government slams Centre as Delhi breathes toxic air,,"As the air quality in Delhi plunged considerably on Friday, Delhi's Environment Minister, Gopal Rai, criticized the Central government and Union Environment Minister Bhupender Yadav for their lack of action regarding the escalating air pollution in Delhi-NCR. Triggering a blame game, Rai said that the majority of pollutants in Delhi's air originate from neighboring states, asking both opposition leaders and the central government to convene emergency meetings to address the issue. He also outlined the measures already implemented by the Delhi government to combat the pollution crisis, including a ban on polluting trucks, commercial four-wheelers, and all construction activities.
Read More"
649,INDIA TODAY,https://www.indiatoday.in/technology/news/story/delhi-air-pollution-as-aqi-crosses-700-here-are-5-gadgets-to-keep-you-safe-2457532-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi Air Pollution: As AQI crosses 700, here are 5 gadgets to keep you safe","UPDATED: Nov 3, 2023 12:54 IST",Listen to Story
650,INDIA TODAY,https://www.indiatoday.in/cities/delhi/video/video-delhi-signature-bridge-covered-in-blanket-of-smog-as-air-quality-worsens-2457494-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Video: Delhi's Signature Bridge covered in blanket of smog as air quality worsens,,"Delhi’s air quality dipped to the ‘Severe’ category today, according to the Central Pollution Control Board (CPCB). A drone camera footage from Signature Bridge in Delhi showed the city shrouded in a thick blanket of haze. 
Read More"
651,INDIA TODAY,https://www.indiatoday.in/programme/first-up/video/delhi-in-haze-as-aqi-hits-severe-plus-category-government-to-hold-meeting-today-2457466-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi in haze as AQI hits 'severe plus' category, government to hold meeting today",,"Delhi was blanketed by a thick layer of smog on Friday with the air quality index (AQI) recorded at 471, plummeting to the 'severe plus' category. Authorities are set to hold an emergency meeting today at 12 pm to discuss further measures to be imposed in view of the worsening situation, 
Read More"
652,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-ncr-chokes-air-quality-turns-severe-schools-shut-for-2-days-top-points-2457402-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's air quality hits 'severe plus' category, schools shut for 2 days: Top points","UPDATED: Nov 3, 2023 10:48 IST",Listen to Story
653,INDIA TODAY,https://www.indiatoday.in/education-today/news/story/all-primary-schools-in-delhi-to-remain-shut-for-2-days-amid-rising-air-pollution-2457450-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,All primary schools in Delhi to remain shut for 2 days amid rising air pollution,"UPDATED: Nov 3, 2023 10:19 IST",Listen to Story
654,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/bs3-petrol-bs4-diesel-cars-banned-in-delhi-fine-rs-20000-air-pollution-hazardous-2457399-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"BS3 petrol, BS4 diesel cars banned in Delhi, can be fined Rs 20,000","UPDATED: Nov 3, 2023 06:38 IST",Listen to Story
655,INDIA TODAY,https://www.indiatoday.in/cities/story/delhi-ncr-pollution-government-private-primary-schools-closed-2-days-2457339-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Primary schools in Delhi shifted online till Saturday as air quality worsens,"UPDATED: Nov 3, 2023 02:38 IST",Listen to Story
656,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-metro-to-run-20-extra-train-trips-across-its-network-from-november-3-2457388-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi Metro to run 20 extra train trips across its network from November 3,"UPDATED: Nov 3, 2023 00:06 IST",Listen to Story
657,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/national-capital-region-covered-in-toxic-smog-with-hazardous-air-quality-level-2457270-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,National capital region covered in toxic smog with 'hazardous' air quality level,"UPDATED: Nov 2, 2023 23:51 IST",Listen to Story
658,INDIA TODAY,https://www.indiatoday.in/cities/story/delhi-ncr-pollution-restriction-construction-activities-schools-advised-go-online-grap-3-2457272-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi restricts construction, schools advised to go online as air quality worsens","UPDATED: Nov 2, 2023 19:33 IST",Listen to Story
659,INDIA TODAY,https://www.indiatoday.in/india/video/video-where-is-delhi-smog-drowns-the-city-and-its-only-november-2457152-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,,,
660,INDIA TODAY,https://www.indiatoday.in/india/story/aap-claims-2-mlas-detained-by-police-during-red-light-on-gaadi-off-campaign-2457283-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"AAP claims 2 MLAs detained by police during 'Red Light On, Gaadi Off campaign","UPDATED: Nov 2, 2023 19:08 IST",Listen to Story
661,INDIA TODAY,https://www.indiatoday.in/india/video/water-sprinkled-via-anti-smog-guns-in-delhi-to-combat-air-pollution-2457245-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Water sprinkled via anti-smog guns in Delhi to combat air pollution,,"To mitigate pollution, water was sprinkled through anti-smog guns in Delhi's Anand Vihar area, as the overall Air Quality Index stands at 346 in the 'very poor' category, as per SAFAR-India. 
Read More"
662,INDIA TODAY,https://www.indiatoday.in/health/story/delhi-air-pollution-more-children-likely-to-become-asthmatic-in-long-run-says-aiims-expert-2457220-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi air pollution: More children likely to become asthmatic in long run, says AIIMS expert","UPDATED: Nov 2, 2023 17:30 IST",Listen to Story
663,INDIA TODAY,https://www.indiatoday.in/india/story/eric-garcetti-statement-on-delhi-pollution-says-daughter-warned-by-teacher-2457060-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,'My daughter warned by teacher today...': US envoy as choking haze blankets Delhi,"UPDATED: Nov 2, 2023 14:35 IST",Listen to Story
664,INDIA TODAY,https://www.indiatoday.in/environment/story/climates-catch-22-cutting-pollution-heats-up-the-planet-2457084-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Climate's 'Catch-22': Cutting pollution heats up the planet,"UPDATED: Nov 2, 2023 13:45 IST",Listen to Story
665,INDIA TODAY,https://www.indiatoday.in/health/story/air-pollution-in-delhi-chennai-increasing-risk-of-diabetes-new-study-finds-2457064-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Air pollution in Delhi, Chennai increasing risk of diabetes, new study finds","UPDATED: Nov 2, 2023 13:41 IST",Listen to Story
666,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-air-pollution-delhi-air-quality-hazardous-stubble-burning-low-wind-speed-2456918-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's air quality turns 'hazardous', AQI dips to 616 in Mundka area","UPDATED: Nov 2, 2023 07:41 IST",Listen to Story
667,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/bjp-leaders-distribute-face-masks-delhi-slam-aap-rising-pollution-levels-2456910-2023-11-02?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi BJP leaders distribute face masks, slam AAP over rising pollution levels","UPDATED: Nov 2, 2023 05:57 IST",Listen to Story
668,INDIA TODAY,https://www.indiatoday.in/law/story/why-no-health-advisories-to-citizens-bombay-high-court-on-dangerous-aqi-levels-2456795-2023-11-01?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,'Why no health advisories to citizens?' Bombay High Court on dangerous AQI levels,"UPDATED: Nov 1, 2023 20:20 IST",Listen to Story
669,INDIA TODAY,https://www.indiatoday.in/india-today-insight/story/why-the-maximum-city-is-seeing-maximum-toxicity-2456812-2023-11-01?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Why the 'maximum city' is seeing maximum toxicity,"UPDATED: Nov 1, 2023 20:03 IST",Listen to Story
670,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-pollution-delhi-witnesses-seasons-worst-air-quality-as-aqi-crosses-700-mark-2456732-2023-11-01?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi records season's worst air pollution, Anand Vihar tops 'hazardous' level","UPDATED: Nov 1, 2023 19:45 IST",Listen to Story
671,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-air-quality-very-poor-aqi-winter-pollution-smog-2456390-2023-11-01?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi's air quality 'very poor' for 5th straight day; ban on entry of diesel buses,"UPDATED: Nov 1, 2023 08:31 IST",Listen to Story
672,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhis-air-quality-remains-very-poor-shallow-fog-likely-tomorrow-2456371-2023-10-31?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's air quality remains 'very poor', shallow fog likely tomorrow","UPDATED: Oct 31, 2023 23:36 IST",Listen to Story
